,N,M,N+M,Mean,St Dev
0,10,21,31,4026.0,127
1,20,66,86,4499.4,87
2,30,155,185,5320.2,100
3,40,298,338,7073.8,274
4,50,281,331,7446.2,200
5,60,737,797,14739.3,545
6,70,533,603,11892.3,344
7,80,605,685,14363.8,483
8,90,492,582,12575.9,956
9,100,2325,2425,44816.2,1563
