,N,M,N+M,Mean,St Dev
0,10,21,31,6392.9,100
1,20,49,69,7529.2,169
2,30,139,169,8851.0,243
3,40,83,123,9520.7,235
4,50,586,636,11423.3,456
5,60,598,658,12702.7,574
6,70,934,1004,14107.7,941
7,80,673,753,14760.7,883
8,90,1726,1816,16072.2,321
9,100,1049,1149,16818.8,284
